# Vision experiment - focus and stereovision v1 - z5 - grid full
# target_x target_y target_z focus result_x result_y result_z distance
-0.4 0.2 0.05 True -0.415 0.222 0.089 0.451
-0.4 0.3 0.05 True -0.414 0.332 0.080 0.515
-0.4 0.4 0.05 True -0.433 0.465 0.067 0.619
-0.4 0.5 0.05 True -0.516 0.678 0.008 0.845
-0.3 0.2 0.05 False -0.303 0.211 0.059 0.390
-0.3 0.3 0.05 True -0.305 0.328 0.080 0.441
-0.3 0.4 0.05 True -0.315 0.446 0.072 0.536
-0.3 0.5 0.05 True -0.338 0.599 0.046 0.679
-0.2 0.2 0.05 False -0.197 0.204 0.068 0.332
-0.2 0.3 0.05 False -0.199 0.311 0.065 0.388
-0.2 0.4 0.05 True -0.204 0.441 0.074 0.482
-0.2 0.5 0.05 True -0.205 0.566 0.062 0.595
-0.1 0.2 0.05 False -0.097 0.205 0.069 0.304
-0.1 0.3 0.05 False -0.094 0.315 0.077 0.351
-0.1 0.4 0.05 True -0.093 0.427 0.082 0.436
-0.1 0.5 0.05 True -0.094 0.539 0.083 0.536
-0.0 0.2 0.05 False 0.009 0.215 0.081 0.280
-0.0 0.3 0.05 True 0.012 0.319 0.081 0.336
-0.0 0.4 0.05 True 0.010 0.424 0.083 0.424
-0.0 0.5 0.05 True 0.012 0.551 0.066 0.548
0.1 0.2 0.05 False 0.105 0.202 0.068 0.304
0.1 0.3 0.05 False 0.111 0.307 0.073 0.351
0.1 0.4 0.05 True 0.115 0.420 0.083 0.434
0.1 0.5 0.05 True 0.121 0.535 0.076 0.540
0.2 0.2 0.05 False 0.202 0.200 0.064 0.335
0.2 0.3 0.05 False 0.213 0.310 0.063 0.395
0.2 0.4 0.05 True 0.228 0.427 0.073 0.479
0.2 0.5 0.05 True 0.227 0.529 0.076 0.564
0.3 0.2 0.05 False 0.307 0.202 0.055 0.390
0.3 0.3 0.05 True 0.326 0.316 0.074 0.449
0.3 0.4 0.05 True 0.334 0.429 0.066 0.536
0.3 0.5 0.05 True 0.326 0.529 0.078 0.604
0.4 0.2 0.05 True 0.417 0.203 0.087 0.446
0.4 0.3 0.05 True 0.442 0.325 0.066 0.536
0.4 0.4 0.05 True 0.441 0.434 0.064 0.604
0.4 0.5 0.05 True 0.460 0.552 0.052 0.704
