# Vision experiment - center and stereovision v2 - z10 - grid full
# target_x target_y target_z focus result_x result_y result_z distance sv_working
-0.4 0.2 0.1 _ -0.373 0.197 0.130 0.515 True
-0.4 0.3 0.1 _ -0.561 0.373 -0.001 0.856 False
-0.4 0.4 0.1 _ -0.534 0.488 0.025 0.889 False
-0.4 0.5 0.1 _ -0.514 0.597 0.034 0.952 False
-0.3 0.2 0.1 _ -0.287 0.194 0.131 0.433 True
-0.3 0.3 0.1 _ -0.294 0.293 0.130 0.476 True
-0.3 0.4 0.1 _ -0.296 0.392 0.134 0.535 True
-0.3 0.5 0.1 _ -0.441 0.661 0.006 0.963 False
-0.2 0.2 0.1 _ -0.199 0.194 0.132 0.357 True
-0.2 0.3 0.1 _ -0.200 0.293 0.131 0.403 True
-0.2 0.4 0.1 _ -0.204 0.394 0.129 0.475 True
-0.2 0.5 0.1 _ -0.260 0.568 0.066 0.736 False
-0.1 0.2 0.1 _ -0.102 0.196 0.134 0.295 True
-0.1 0.3 0.1 _ -0.101 0.294 0.136 0.345 True
-0.1 0.4 0.1 _ -0.101 0.398 0.132 0.426 True
-0.1 0.5 0.1 _ -0.101 0.493 0.135 0.510 True
-0.0 0.2 0.1 _ -0.000 0.201 0.133 0.269 True
-0.0 0.3 0.1 _ 0.001 0.296 0.139 0.318 True
-0.0 0.4 0.1 _ -0.002 0.401 0.133 0.405 True
-0.0 0.5 0.1 _ -0.100 1.704 -0.715 2.293 False
0.1 0.2 0.1 _ 0.097 0.200 0.132 0.278 True
0.1 0.3 0.1 _ 0.100 0.301 0.135 0.332 True
0.1 0.4 0.1 _ 0.103 0.403 0.133 0.412 True
0.1 0.5 0.1 _ 0.230 1.334 -0.462 1.787 False
0.2 0.2 0.1 _ 0.200 0.201 0.134 0.320 True
0.2 0.3 0.1 _ 0.200 0.298 0.132 0.369 True
0.2 0.4 0.1 _ 0.204 0.404 0.131 0.448 True
0.2 0.5 0.1 _ 0.773 1.923 -0.865 2.780 False
0.3 0.2 0.1 _ 0.302 0.200 0.128 0.393 True
0.3 0.3 0.1 _ 0.307 0.305 0.127 0.443 True
0.3 0.4 0.1 _ 0.310 0.409 0.125 0.515 True
0.3 0.5 0.1 _ 1.020 1.597 -0.678 2.511 False
0.4 0.2 0.1 _ 0.403 0.200 0.126 0.481 True
0.4 0.3 0.1 _ 0.414 0.304 0.125 0.531 True
0.4 0.4 0.1 _ 0.408 0.408 0.128 0.590 True
0.4 0.5 0.1 _ 1.580 1.799 -0.789 3.140 False
