# Vision experiment - focus and stereovision v2 - z10 - grid full
# target_x target_y target_z focus result_x result_y result_z distance sv_working
-0.4 0.2 0.1 True -0.391 0.208 0.133 0.431 True
-0.4 0.3 0.1 True -0.472 0.359 0.057 0.651 False
-0.4 0.4 0.1 True -0.511 0.501 0.006 0.836 False
-0.4 0.5 0.1 True -0.503 0.613 0.019 0.927 False
-0.3 0.2 0.1 True -0.295 0.205 0.131 0.346 True
-0.3 0.3 0.1 True -0.294 0.303 0.138 0.410 True
-0.3 0.4 0.1 True -0.305 0.405 0.125 0.515 True
-0.3 0.5 0.1 True -0.371 0.594 0.031 0.817 False
-0.2 0.2 0.1 False -0.191 0.192 0.128 0.277 True
-0.2 0.3 0.1 True -0.200 0.309 0.136 0.355 True
-0.2 0.4 0.1 True -0.206 0.403 0.134 0.449 True
-0.2 0.5 0.1 True -0.309 0.721 -0.048 0.950 False
-0.1 0.2 0.1 False -0.097 0.199 0.132 0.247 True
-0.1 0.3 0.1 True -0.096 0.307 0.138 0.311 True
-0.1 0.4 0.1 True -0.100 0.402 0.141 0.404 True
-0.1 0.5 0.1 True -0.104 0.489 0.141 0.501 True
-0.0 0.2 0.1 False 0.005 0.205 0.139 0.225 True
-0.0 0.3 0.1 True 0.003 0.305 0.140 0.295 True
-0.0 0.4 0.1 True 0.001 0.402 0.138 0.393 True
-0.0 0.5 0.1 True -0.042 0.667 -0.014 0.818 False
0.1 0.2 0.1 False 0.101 0.199 0.133 0.248 True
0.1 0.3 0.1 True 0.105 0.299 0.144 0.304 True
0.1 0.4 0.1 True 0.101 0.401 0.139 0.404 True
0.1 0.5 0.1 True 0.194 1.474 -0.575 1.993 False
0.2 0.2 0.1 False 0.192 0.198 0.116 0.291 True
0.2 0.3 0.1 True 0.202 0.301 0.134 0.351 True
0.2 0.4 0.1 True 0.195 0.404 0.134 0.444 True
0.2 0.5 0.1 True 0.514 1.632 -0.666 2.294 False
0.3 0.2 0.1 True 0.305 0.205 0.132 0.351 True
0.3 0.3 0.1 True 0.302 0.303 0.133 0.417 True
0.3 0.4 0.1 True 0.294 0.405 0.132 0.502 True
0.3 0.5 0.1 True 1.023 2.012 -0.893 3.016 False
0.4 0.2 0.1 True 0.407 0.208 0.127 0.446 True
0.4 0.3 0.1 True 0.435 0.341 0.093 0.577 False
0.4 0.4 0.1 True 1.488 1.769 -1.018 3.140 False
0.4 0.5 0.1 True 1.217 1.728 -0.726 2.793 False
